iter	Passed	Remaining
0	3	3344
1	5	2976
2	8	2896
3	11	2836
4	14	2821
5	17	2838
6	20	2834
7	22	2812
8	25	2776
9	28	2777
10	30	2772
11	33	2752
12	36	2745
13	39	2748
14	41	2733
15	44	2739
16	47	2732
17	49	2713
18	52	2692
19	55	2701
20	58	2705
21	60	2700
22	63	2705
23	66	2715
24	69	2723
25	72	2721
26	75	2734
27	78	2737
28	81	2741
29	84	2737
30	87	2730
31	90	2724
32	93	2728
33	96	2742
34	99	2745
35	103	2766
36	106	2778
37	110	2797
38	113	2802
39	116	2802
40	119	2800
41	122	2795
42	125	2799
43	128	2798
44	132	2802
45	134	2791
46	137	2784
47	139	2772
48	142	2760
49	144	2749
50	147	2735
51	150	2737
52	153	2737
53	156	2734
54	159	2730
55	161	2725
56	164	2726
57	167	2719
58	170	2709
59	173	2708
60	175	2701
61	178	2695
62	181	2689
63	183	2680
64	185	2671
65	188	2663
66	191	2657
67	193	2651
68	196	2649
69	199	2641
70	201	2634
71	203	2624
72	206	2621
73	209	2615
74	211	2611
75	214	2606
76	217	2599
77	219	2592
78	222	2590
79	225	2584
80	227	2581
81	230	2577
82	233	2573
83	235	2568
84	238	2561
85	240	2555
86	243	2549
87	246	2549
88	249	2547
89	251	2543
90	254	2537
91	256	2531
92	259	2526
93	262	2524
94	264	2518
95	267	2512
96	269	2509
97	272	2504
98	274	2499
99	277	2497
100	280	2495
101	283	2489
102	285	2484
103	288	2479
104	290	2474
105	293	2469
106	295	2464
107	298	2462
108	301	2459
109	303	2455
110	306	2451
111	308	2446
112	312	2446
113	314	2443
114	317	2437
115	319	2432
116	322	2427
117	324	2422
118	326	2416
119	329	2415
120	332	2411
121	334	2406
122	337	2406
123	340	2401
124	342	2395
125	345	2391
126	347	2388
127	350	2384
128	352	2379
129	355	2374
130	357	2371
131	360	2368
132	363	2366
133	366	2363
134	368	2361
135	371	2358
136	374	2355
137	377	2353
138	380	2351
139	382	2347
140	385	2343
141	387	2339
142	390	2335
143	392	2330
144	394	2326
145	397	2322
146	400	2322
147	403	2321
148	407	2322
149	410	2321
150	412	2318
151	415	2317
152	418	2315
153	421	2311
154	423	2306
155	426	2302
156	428	2298
157	431	2294
158	433	2290
159	436	2286
160	439	2285
161	441	2283
162	444	2278
163	446	2274
164	449	2272
165	452	2268
166	454	2264
167	457	2262
168	459	2258
169	462	2254
170	465	2251
171	467	2248
172	470	2244
173	472	2240
174	474	2236
175	477	2231
176	480	2229
177	482	2226
178	485	2223
179	488	2223
180	491	2223
181	495	2224
182	498	2223
183	502	2224
184	505	2225
185	508	2224
186	511	2223
